DRIVER_TYPE,CLIENT_DRIVER_ID,ID,DRIVER NAME,SUB DRIVER NAME,DFC,DFF,DEC,DHN,DCR,DTP,DFV,DDN,DEG,DZA,DCL,TFA,OneDole,AP,Purchasing,Financial Services,TOTAL,Comentarios,Column1
CLIENT,C-009023001,DirectDCR/DTP 3,Direct,DCR/DTP 3,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,1,,C-009023001
CLIENT,C-009024001,DirectDCR/DTP 4,Direct,DCR/DTP 4,,,,,0.2,0.8,,,,,,,,,,,1,,C-009024001
CLIENT,C-009025001,DirectDDN/DFF,Direct,DDN/DFF,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,,C-009025001
CLIENT,C-009025002,DirectFortinet,Direct,Fortinet,0.015616544,0.044735158,0.157128318,0.240402837,0.218962803,0.035793221,0.182303411,0.012100911,0,0,0.092956797,,,,,,1,,C-009025002
CLIENT,C-009026002,DirectPlaza Roble,Direct,Plaza Roble,0,0,0,0,0.38,0.62,0,0,0,0,0,0,0,0,0,0,1,,C-009026002
CLIENT,C-009027001,DirectDCR/DTP,Direct,DCR/DTP,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,,C-009027001
CLIENT,C-009028001,DirectDFF/DFC,Direct,DFF/DFC,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-009028001
CLIENT,C-009029001,DirectDCR/DHN,Direct,DCR/DHN,,,,0.1,0.9,,,,,,,,,,,,1,,C-009029001
CLIENT,C-009030001,DirectDFF/TFA,Direct,DFF/TFA,,0.5,,,,,,,,,,0.5,,,,,1,,C-009030001
CLIENT,C-009031001,DirectDCR/TFA,Direct,DCR/TFA,,,,,0.5,,,,,,,0.5,,,,,1,,C-009031001
CLIENT,C-009031002,DirectDCR/TFA,Direct,DCR/TFA,,,,,0.15,,,,,,,0.85,,,,,1,,C-009031001
CLIENT,C-009032002,DirectDCR/TFA,Direct,DCR/TFA,0.046,0.82,0,0,0.046,0.069,0.019,0,0,0,0,,,,,,1,,C-009031001
CLIENT,C-010001001,PayrollADAM,Payroll,ADAM,0,0,0.15,0.4,0.25,0.2,0,0,0,0,0,0,0,0,0,0,1,,C-010001001
CLIENT,C-010001001,PayrollADAM SQL Server,Payroll,ADAM SQL Server,0,0,0.15,0.4,0.25,0,0,0,0,0,0,0.2,0,0,0,0,1,,C-010001001
CLIENT,C-011001001,GENEXUSLicenses,GENEXUS,Licenses,0,0,0,0.071428571,0.642857143,0,0,0,0,0,0,0.285714286,0,0,0,0,1,,C-011001001
CLIENT,C-011001002,Not ApplicableNot Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C-011001002
CLIENT,C-011001003,Visual StudioLicenses,Visual Studio,Licenses,0,0.3,0,0,0.5,0.1,0,0,0.1,0,0,0,0,0,0,0,1,,C-011001003
CLIENT,C-012001001,Employee CostCC776,Employee Cost,CC776,0.114466667,0.344333333,0.0209,0.020933333,0.068833333,0.083016667,0.3101,0,0,0,0.037416667,0,0,0,0,0,1,,C-012001001
CLIENT,C-012001002,Employee CostCC748,Employee Cost,CC748,0.275,0.298374124,0.037211752,0.03594869,0.067039448,0.04857931,0.165169655,0.0206,0.021374897,0.00631531,0.024386814,0,0,0,0,0,1,,C-012001001
CLIENT,C-012001003,Employee CostCC777,Employee Cost,CC777,0.114229093,0.338393641,0.002,0.006,0.089622947,0.148744798,0.256832265,0.042177255,0,0,0.002,0,0,0,0,0,0.999999999,,C-012001001
CLIENT,C-012001004,Employee CostCC734,Employee Cost,CC734,0.064014286,0.230764286,0.016542857,0.020185714,0.031928571,0,0,0.0004,0,0,0,0.418307143,0,0,0.153571429,0.064285714,1,,C-012001001
CLIENT,C-012001005,Employee CostCC782,Employee Cost,CC782,0.019171079,0.050940296,0.145335037,0.146613109,0.169253241,0.030856308,0.214898667,0.01387621,0.04929706,0.027204674,0.132554318,0,,,,,1,,C-012001001
CLIENT,C-012001006,Employee CostCC790,Employee Cost,CC790,0.275,0.298374124,0.037211752,0.03594869,0.067039448,0.04857931,0.165169655,0.0206,0.021374897,0.00631531,0.024386814,0,,,,,1,,C-012001001
CLIENT,C-012001007,Employee CostCC818,Employee Cost,CC818,0.275,0.298374124,0.037211752,0.03594869,0.067039448,0.04857931,0.165169655,0.0206,0.021374897,0.00631531,0.024386814,0,,,,,1,,C-012001001
CLIENT,C-012001008,Employee CostCC820,Employee Cost,CC820,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0,,,,,1,,C-012001001
CLIENT,C-012001008,Employee CostCC822,Employee Cost,CC822,0.152388791,0.610427641,0,0,0,0,0,0.011598259,0,0,0,0.225585309,0,,,,1,,C-012001001
